,location,title,company,salary,salrange
190,"Chicago, IL 60654 (Loop area)",Data Scientists Lead - Visualization,"Anthem, Inc.",No Salary Listed,60000
191,"Chicago, IL",Data Scientist,Tempus,No Salary Listed,60000
192,"Chicago, IL",Data Scientist (No H1B),No Company Listed,No Salary Listed,60000
193,"Chicago, IL","Analyst - Periscope Advanced Insights - Growth Mapping, McKi...",McKinsey & Company,No Salary Listed,60000
194,"Chicago, IL 60654 (Loop area)",Knowledge Analyst - Automation & Programming,The Boston Consulting Group,No Salary Listed,60000
195,"Chicago, IL 60606 (Loop area)",Senior Quantitative Analyst,William Blair & Company,No Salary Listed,60000
196,"Chicago, IL",Data Scientist,Jobspring Partners,"$100,000 - $140,000 a year",60000
197,"Chicago, IL 60606 (Loop area)",Data Visualization Scientist,Conversant Media,No Salary Listed,60000
198,"Chicago, IL",Sr Statistician,Rush University Medical Center,No Salary Listed,60000
199,"Chicago, IL 60606 (Loop area)",Data Visualization Scientist,Conversant Media,No Salary Listed,60000
200,"Chicago, IL",Data Scientist,Retrofit,No Salary Listed,60000
201,"Chicago, IL","AVP, Lead Data Scientist (L11)",Synchrony Financial,No Salary Listed,60000
202,"Chicago, IL",Data Scientist - Vista Intelligence Group,No Company Listed,No Salary Listed,60000
203,"Lisle, IL",Data Scientist Senior,"Navistar, Inc.",No Salary Listed,60000
204,"Chicago, IL 60654 (Loop area)",Advanced Analytics Analyst/Sr/Consultant - 126661SK,"Anthem, Inc.",No Salary Listed,60000
205,"Chicago, IL 60606 (Loop area)",Senior Data Scientist,Conversant Media,No Salary Listed,60000
206,"Chicago, IL",Senior Data Scientist,AllianceData,No Salary Listed,60000
207,"Deerfield, IL",Senior Data Scientist,Walgreens,No Salary Listed,60000
208,"Chicago, IL",Quality Assurance Analyst - Research Products,University of Chicago,No Salary Listed,60000
209,"Chicago, IL",Data Scientist,No Company Listed,No Salary Listed,60000
210,"Chicago, IL 60605 (Near South Side area)",Senior Quantitative Analyst,OCC,No Salary Listed,60000
211,"Chicago, IL 60606 (Loop area)",Data Scientist/Statistics - Applied Technology - 13307,Crowe Horwath,No Salary Listed,60000
212,"Chicago, IL",Market Research Analyst,Kantar Millward Brown,No Salary Listed,60000
213,"Chicago, IL 60601 (Loop area)",Data Scientist / Quantitative Analyst,S&P GLOBAL MARKET INTELLIGENCE,No Salary Listed,60000
214,"Chicago, IL","Data Scientist, Advanced Data Analytics",Jackson National Life Insurance Company,No Salary Listed,60000
215,"Chicago, IL",Sprout Social - Senior Data Scientist,No Company Listed,No Salary Listed,60000
216,"Chicago, IL",Regulatory Data Scientist,Chicago Mercantile Exchange Inc.,No Salary Listed,60000
217,"Chicago, IL",Director of Machine Learning,Motorola Mobility,No Salary Listed,60000
218,"Chicago, IL",Market Research Analyst,Kantar Millward Brown,No Salary Listed,60000
219,"Chicago, IL 60605 (Near South Side area)",Senior Quantitative Analyst,OCC,No Salary Listed,60000
220,"Chicago, IL",Quality Assurance Analyst - Research Products,University of Chicago,No Salary Listed,60000
221,"Lisle, IL 60532",Sr. Data Scientist,"Valid USA, Inc.",No Salary Listed,60000
222,"Chicago, IL 60603 (Loop area)",Senior Data Scientist,No Company Listed,No Salary Listed,60000
223,"Lisle, IL 60532",Data Scientist I,Molex,No Salary Listed,60000
224,"Rosemont, IL",Data Scientist,American Academy of Orthopaedic Surgeons,No Salary Listed,60000
225,"Chicago, IL",Contract Data Science,Jobspring Partners,$50 - $70 an hour,60000
226,"Chicago, IL",Statistical Analyst,Northwestern University,No Salary Listed,60000
227,"Chicago, IL",Biomedical Informatics Research Specialist - Cancer Center,University of Illinois Hospital & Health Sciences...,No Salary Listed,60000
228,"Lisle, IL",Analyst,Kantar Millward Brown,No Salary Listed,60000
229,"Chicago, IL",Capital One - Data Science Manager,No Company Listed,No Salary Listed,60000
230,"Chicago, IL",Principal Data Scientist,Jobspring Partners,"$120,000 - $160,000 a year",60000
231,"Chicago, IL",Big Data Manager,United Airlines,No Salary Listed,60000
232,"Chicago, IL",Research Data Analyst,Northwestern University,No Salary Listed,60000
233,"Chicago, IL",Data Analyst (Jr./Mid),Harvey Nash,No Salary Listed,60000
234,"Chicago, IL",Data Scientist - Machine Learning,No Company Listed,No Salary Listed,60000
235,"Chicago, IL",Lead Data Scientist,Jobspring Partners,"$100,000 - $150,000 a year",60000
236,"Chicago, IL","Analyst, Passive Strategies, Research",Morningstar,No Salary Listed,60000
237,"Chicago, IL",Senior Data Scientist - Chicago,Kaplan,No Salary Listed,60000
238,"Chicago, IL",Senior Applied Data Scientist-Chicago,No Company Listed,No Salary Listed,60000
239,"Chicago, IL",Data Scientist II,American Family Insurance,No Salary Listed,60000
240,"Chicago, IL",Quantitative Analyst - Credit Risk,Fifth Third Bank,No Salary Listed,60000
241,"Chicago, IL 60654 (Loop area)",Senior Data Scientist,Groupon,No Salary Listed,60000
242,"Chicago, IL 60601 (Loop area)",Statistical Analyst,The LaSalle Network,"$80,000 a year",60000
243,"Chicago, IL 60654 (Loop area)",Senior Data Scientist,Groupon,No Salary Listed,60000
244,"Chicago, IL",Director - Sr Research Scientist,IRI,No Salary Listed,60000
245,"Chicago, IL 60601 (Loop area)",Statistical Analyst,The LaSalle Network,"$80,000 a year",60000
